ID;Name;NeOn ODP;Formalization;Example;OWL constructs;Expressivity
LSP-SC-EN;Lexico Syntactic ODPs corresponding to SubclassOf relation ODP;LP-SC-01;[(NP<subclass>,)* and] NP<subclass> be [CN-CATV] NP<superclass>;An orphan drug is a type of drug / One of the users is the manager;subclassOf, Class (Thing, Nothing);AL
LSP-SC-EN;Lexico Syntactic ODPs corresponding to SubclassOf relation ODP;LP-SC-01;There are QUAN CN-CATV NP<superclass> PARA [(NP<subclass>,)* and] NP<subclass>;There are several kinds of  memory: fast, expensive, short term memory and long-term memory ;subclassOf, Class (Thing, Nothing);AL
LSP-SC-EN;Lexico Syntactic ODPs corresponding to SubclassOf relation ODP;LP-SC-01;[A(n) | QUAN] example of  | CN-CATV NP<superclass> be |include [PARA] [(NP<subclass>,)* and] NP<subclass>;Types of criteria for assessing applications are: quality, safety  and efficacy;subclassOf, Class (Thing, Nothing);AL
LSP-SC-EN;Lexico Syntactic ODPs corresponding to SubclassOf relation ODP;LP-SC-01;NP<superclass> be | CATV [PARA]  [(NP<resource1>, )* and | or ], NP<subclass>;The devices can be classified into categories: FunctionRelated, EneryRelated and BuildingRelated;"rdfs:subClassOf
Class (Thing, Nothing)";AL
LSP-MI-EN; Lexico Syntactic ODPs corresponding to Multiple Inheritance ODP;LP-MI-01;NP<subclass> [can]be NP<superclass> and NP<superclass>;Amphibians are water-living and land-living animals;subclassOf, Class (Thing, Nothing);AL
LSP-EQ-EN;Lexico Syntactic ODPs corresponding to Equivalence relation between Classes ODP;LP-EQ-01;NP<class> be (also | likewise) | know as |call | (refer to as)  NP<class>;"Poison dart frogs are also known as poison-arrow frogs.
";equivalentClass, Class (Thing, Nothing);AL
LSP-OP-EN; Lexico Syntactic ODPs corresponding to Object Property ODP;LP-OP-01;NP<class> VB NEG(be |  have |  CATV |  PART) NP<class>;Engineering project managers participate in writing specifications, researching, and selecting suppliers and materials;Class (Thing, Nothing), someValuesFrom, ObjectProperty;ALE
LSP-OP-EN;Lexico Syntactic ODPs corresponding to Object Property ODP;LP-OP-01;NP<class> [ (VB NEG(be / have / CATV / PART) NP<class>,)* and | or ] VB NEG(be | have | CATV | PART) [(NP<class>,)* and] NP<class>;A smoke sensor performs a sensing and event function //Each interaction pattern can be readable or writable through an endpoint;ObjectProperty, Class (Thing, Nothing), someValuesFrom;ALE
LSP-OP-EN;Lexico Syntactic ODPs corresponding to Object Property ODP;LP-OP-01;VB [(NP<class>,)* and | or ] NP<class> [ADV] PREP [(NP<class>,)* and | or ] NP<class>;It should be possible to define the target of a constraint inside a Permission, Prohibition or Duty/Being able to tie Permission, Prohibition, Duty, and Constraint entities together with an AND, OR or XOR relationship;ObjectProperty, Class (Thing, Nothing), someValuesFrom;ALE
LSP-OP-EN;Lexico Syntactic ODPs corresponding to Object Property ODP;LP-OP-01;[(NP<class>,)* and] NP<class> VB NEG(be | have | CATV | PART) [(NP<class>,)* and] NP<class>;A zone and an adjacent zone share an interface;ObjectProperty, Class (Thing, Nothing), someValuesFrom;ALE
