Identifier,Competency questions/ Natural language sentence (fact),Answer,LSP associated,Ontology
req01,Which is the height of peak x?,,LSP-OP-DP-EN,https://datos.ign.es/def/btn100#
req02,Which are the geometries and maximum levels of the Curvas de Nivel Maestra of bathymetric type?,,LSP-OP-DP-EN,https://datos.ign.es/def/btn100#
req03,Which is the name and geometry of the primary interest mountain range?,,LSP-OP-DP-EN,https://datos.ign.es/def/btn100#
req04,Which are the rivers of tertiary interest at ground level?,,LSP-OP-DP-EN,https://datos.ign.es/def/btn100#
req05,Which are the names and geometry of the major canals at ground level?,,LSP-OP-DP-EN,https://datos.ign.es/def/btn100#
req06,Which are the permanent regime lagoons?,,LSP-CD-EN,https://datos.ign.es/def/btn100#
req07,Which is the geometry of the wetlands of rambla type?,,LSP-OP-DP-EN,https://datos.ign.es/def/btn100#
req08,Which are the names of the seas that surround the Spanish territory?,,LSP-OP-DP-EN,https://datos.ign.es/def/btn100#
req09,Which capitals from the population center has a population density higher than x?,,LSP-OP-DP-EN,https://datos.ign.es/def/btn100#
req10,Which are the names and geometry of the population center that has a population density higher than x?,,LSP-OP-DP-EN,https://datos.ign.es/def/btn100#
req11,What are the name of disseminated places that are not capitals of municipality?,,LSP-OP-DP-EN,https://datos.ign.es/def/btn100#
req12,What are the name of  superficial disseminated places that are  capitals of municipality?,,LSP-OP-DP-EN,https://datos.ign.es/def/btn100#
req13,Which are the names of the free access motorways?,,LSP-OP-DP-PW-EN,https://datos.ign.es/def/btn100#
req14,Which are the names of the national highway which belong to the european highway network?,,LSP-OP-DP-EN,https://datos.ign.es/def/btn100#
req15,Which are the names of the national highway which do not belong to the european highway network?,,LSP-OP-DP-EN,https://datos.ign.es/def/btn100#
req16,"Which are the names and geometry of the itinerary which belong to the ""Camino de Santiago""?",,LSP-OP-DP-EN,https://datos.ign.es/def/btn100#
req17,Which are the FFCC stations that are stopping places and whcih are the FFCC stations that have passenger traffic?,,LSP-INST-SC-EN,https://datos.ign.es/def/btn100#
req17,Which are the FFCC stations that are stopping places and whcih are the FFCC stations that have passenger traffic?,,LSP-OP-DP-PW-EN,https://datos.ign.es/def/btn100#
req18,Which are the geometries of the cable transport?,,LSP-OP-DP-EN,https://datos.ign.es/def/btn100#
req19,Which are the sea ports that are not under state control?,,LSP-COMPL-EN,https://datos.ign.es/def/btn100#
req20,Which are the heliport that are not under state control and do not belong to the trans-European transport network?,,LSP-COMPL-EN,https://datos.ign.es/def/btn100#
req21,Which are the oil pipelines at ground level?,,LSP-OP-DP-EN,https://datos.ign.es/def/btn100#
req22,Which are the low voltage electric lines?,,LSP-CD-EN,https://datos.ign.es/def/btn100#
req23,Which are the nuclear power plants?,,LSP-CD-EN,https://datos.ign.es/def/btn100#
req24,"Which are the names, altitudes and longitudes of the lower order geodesic vertex ?",,LSP-OP-DP-EN,https://datos.ign.es/def/btn100#
req25,Which roads cross a municipality ?,,LSP-OP-EN,https://datos.ign.es/def/btn100#
req26,Which are the AVE lines that connect two towns?,,LSP-OP-DP-EN,https://datos.ign.es/def/btn100#
req27,which is the optimum way between two population centers?,,LSP-OP-DP-EN,https://datos.ign.es/def/btn100#
req28,Which are the towns though which the Camino the santiago passes?,,LSP-OP-DP-EN,https://datos.ign.es/def/btn100#
req29,Which are the intial point and the end point of the road x?,,LSP-OP-DP-EN,https://datos.ign.es/def/btn100#
req30,Which are the intial point and the end point of the railway x?,,LSP-OP-DP-EN,https://datos.ign.es/def/btn100#
req31,Which are the places of interest in a town ?,,LSP-OP-DP-EN,https://datos.ign.es/def/btn100#
req32,Which are the historic places in a town?,,LSP-OP-DP-EN,https://datos.ign.es/def/btn100#
req33,Which churches are placed in a town?,,LSP-OP-EN,https://datos.ign.es/def/btn100#
req34,Which are the monuments of cultural interest in a town?,,LSP-OP-DP-EN,https://datos.ign.es/def/btn100#
req35,Which places of interest are in a province?,,LSP-OP-DP-EN,https://datos.ign.es/def/btn100#
req36,Which historic places are in a province?,,LSP-OP-DP-EN,https://datos.ign.es/def/btn100#
req37,Which goods of cultural interest are in a province?,,LSP-OP-DP-EN,https://datos.ign.es/def/btn100#
req38,Which places of interest are in a county?,,LSP-OP-DP-EN,https://datos.ign.es/def/btn100#
req39,Which historic places are in a county?,,LSP-OP-DP-EN,https://datos.ign.es/def/btn100#
req40,Which goods of cultural interest are in a county?,,LSP-OP-DP-EN,https://datos.ign.es/def/btn100#
req41,Which beaches are placed in the province X?,,LSP-OP-EN,https://datos.ign.es/def/btn100#
req42,Which gas stations are placed in the municipality x?,,LSP-OP-EN,https://datos.ign.es/def/btn100#
req43,Which electrict lines passes through a municipality?,,LSP-OP-EN,https://datos.ign.es/def/btn100#
req44,Which municipalities are connected through the electric line x?,,LSP-OP-EN,https://datos.ign.es/def/btn100#
req45,Which hospital attend to a particular municipality?,,LSP-OP-EN,https://datos.ign.es/def/btn100#
req46,Which communication stations are in a particular municipality?,,LSP-OP-DP-EN,https://datos.ign.es/def/btn100#
req47,Which mines are in a particular province?,,LSP-OP-EN,https://datos.ign.es/def/btn100#
req48,Which mines are within a particular distance in a particular municipality?,,LSP-OP-DP-EN,https://datos.ign.es/def/btn100#
req49,What geodesic vertex are in a particular municipality?,,LSP-OP-DP-EN,https://datos.ign.es/def/btn100#
req50,What REDNAP signals are in a municipality?,,LSP-OP-DP-EN,https://datos.ign.es/def/btn100#
req51,Which is the altitude of the municipality x?,,LSP-OP-DP-EN,https://datos.ign.es/def/btn100#
req52,Which is the altitude of the peak or mountain x?,,LSP-OP-DP-EN,https://datos.ign.es/def/btn100#
req53,Which are the NP placed along th river x?,,LSP-OP-EN,https://datos.ign.es/def/btn100#
req54,Which are the cave type places of interest which are also good of cultural interest?,,LSP-OP-DP-EN,https://datos.ign.es/def/btn100#
req55,Which are the good of cultural interest of the national park x?,,LSP-OP-DP-EN,https://datos.ign.es/def/btn100#
req56,Which are the railway stations of the province x?,,LSP-OP-DP-EN,https://datos.ign.es/def/btn100#
req57,Which are the airports of the autonomous region?,,LSP-OP-DP-EN,https://datos.ign.es/def/btn100#
req58,Through which villages does the road x goes through ?,,LSP-OP-EN,https://datos.ign.es/def/btn100#
req59,Which are the National Parks?,,LSP-CD-EN,https://datos.ign.es/def/btn100#
req60,Which are the natural places?,,LSP-CD-EN,https://datos.ign.es/def/btn100#
req61,Which are the Special bird protection area?,,LSP-CD-EN,https://datos.ign.es/def/btn100#
req62,Which river cross the National Park x?,,LSP-OP-EN,https://datos.ign.es/def/btn100#
req63,Which municiaplities are located inside the PN,,LSP-OP-EN,https://datos.ign.es/def/btn100#
req64,Which roads cross the PN?,,LSP-OP-EN,https://datos.ign.es/def/btn100#
req65,How many and which are the surface water located inside thePN x?,,LSP-OP-EN,https://datos.ign.es/def/btn100#
req66,Which are the protected areas in Spain?,,LSP-OP-DP-EN,https://datos.ign.es/def/btn100#
req67,Which are the tributaries on the right of the river x?,,LSP-OP-DP-EN,https://datos.ign.es/def/btn100#
req68,Where does the river X flows into?,,LSP-OP-EN,https://datos.ign.es/def/btn100#
req69,How many rivers flow into the sea or ocean zzz?,,LSP-OP-EN,https://datos.ign.es/def/btn100#
req70,What are the rivers which belong to municipality x?,,LSP-OP-EN,https://datos.ign.es/def/btn100#
req71,Through which autonomous community does the river x flow into ?,,LSP-OP-EN,https://datos.ign.es/def/btn100#
req72,Through which provinces does the river x flow into ?,,LSP-OP-EN,https://datos.ign.es/def/btn100#
req73,Through which municipalities does the river x flow into?,,LSP-OP-EN,https://datos.ign.es/def/btn100#
req74,Which town is adjacent to town X?,,LSP-OP-EN,https://datos.ign.es/def/btn100#
req75,Which municipality belongs to province X?,,LSP-OP-EN,https://datos.ign.es/def/btn100#
req76,Which municipality belongs to the autonomous community x?,,LSP-OP-EN,https://datos.ign.es/def/btn100#
req77,What are the reservoirs of the river x?,,LSP-OP-DP-EN,https://datos.ign.es/def/btn100#
req78,Zones are areas with spatial 3D volumes,,LSP-DC-SC-EN,http://www.w3id.org/bot#
req79,Construction sites are areas with spatial 3D volumes,,LSP-DC-SC-EN,http://www.w3id.org/bot#
req80,Buildings are areas with spatial 3D volumes,,LSP-DC-SC-EN,http://www.w3id.org/bot#
req81,Storeys are areas with spatial 3D volumes,,LSP-DC-SC-EN,http://www.w3id.org/bot#
req82,"Spaces are limited three-dimensional extent defined physically or notionally, and are areas with spatial 3D volumes",,LSP-CD-EN,http://www.w3id.org/bot#
req82,"Spaces are limited three-dimensional extent defined physically or notionally, and are areas with spatial 3D volumes",,LSP-DC-SC-EN,http://www.w3id.org/bot#
req83,Zones may contain other zones,,LSP-PW-CONS-COM-CE-EN,http://www.w3id.org/bot#
req84,Construction sites may contain buildings,,LSP-PW-CONS-COM-CE-EN,http://www.w3id.org/bot#
req85,Buildings may contain storeys,,LSP-PW-CONS-COM-CE-EN,http://www.w3id.org/bot#
req86,Storeys may contain spaces,,LSP-PW-CONS-COM-CE-EN,http://www.w3id.org/bot#
req87,"Spaces may be contained in storeys, buildings, and construction sites",,LSP-PW-CONS-COM-CE-EN,http://www.w3id.org/bot#
req88,"Spaces may intersect different storeys, buildings, and construction sites",,LSP-OP-EN,http://www.w3id.org/bot#
req89,A zone can be adjacent to another zone,,LSP-OP-EN,http://www.w3id.org/bot#
req90,There are building elements,,LSP-CD-EN,http://www.w3id.org/bot#
req91,Building elements may have sub elements,,LSP-OP-DP-PW-EN,http://www.w3id.org/bot#
req92,"Zones may have elements, either contained in it, or adjacent to it",,LSP-OP-DP-PW-EN,http://www.w3id.org/bot#
